dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.activation_Price.amount,point.imbalance_Price.category,point.position,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.mktPSRType.psrType,ts.price_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
activated_balancing_prices,1,2026-05-23T00:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,94.3605,A06,1,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T00:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,112.4945,A06,2,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T00:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,113.508,A06,3,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T00:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,85.623,A06,4,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T01:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,93.5574,A06,5,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T01:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,110.0591,A06,6,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T01:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,104.8035,A06,7,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T01:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,108.1046,A06,8,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T02:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,117.3205,A06,9,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T02:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,102.4503,A06,10,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T02:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,109.7052,A06,11,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T02:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,94.1867,A06,12,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T03:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,114.443,A06,13,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T03:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,126.0353,A06,14,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T03:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,110.9799,A06,15,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T03:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,112.0758,A06,16,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T04:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,177.0814,A06,17,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T04:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,149.0986,A06,18,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T04:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,104.2417,A06,19,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T04:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,117.0398,A06,20,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T05:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,159.7764,A06,21,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T05:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,116.2913,A06,22,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T05:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,128.7069,A06,23,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T05:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,80.3224,A06,24,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T06:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,18.1176,A06,25,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T06:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,5.0247,A06,26,A96,EUR,A03,A01,1,A04,MWH,A01
