dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.position,point.quantity,point.unavailable_Quantity.quantity,ts.businessType,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.quantity_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
aggregated_balancing_energy_bids,1,2026-05-23T00:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,1,110,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T00:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,2,111,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T01:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,5,113,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T01:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,6,114,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T02:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9,112,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T02:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,10,117,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T03:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,13,122,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T04:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,17,127,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T05:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,21,126,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T06:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,25,89,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T07:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,29,58,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T08:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,33,88,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T10:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,41,86,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T12:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,49,85,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T14:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,57,56,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T15:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,61,76,4,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T16:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,65,160,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T17:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,69,170,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T17:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,70,215,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T18:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,73,216,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T19:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,77,214,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T20:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,81,197,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T21:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,85,195,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-05-23T22:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,89,143,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T00:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,1,129,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T01:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,5,120,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T01:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,6,121,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T02:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9,120,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T02:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,10,121,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T03:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,13,120,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T04:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,17,132,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T05:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,21,147,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T06:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,25,134,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T07:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,29,153,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T08:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,33,141,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T12:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,49,142,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T14:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,57,141,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T15:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,61,148,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T16:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,65,155,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T17:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,69,152,5,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T20:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,81,130,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T21:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,85,134,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-05-23T22:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,89,135,3,A14,A03,A01,2,MAW,A01
