dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.energy_Price.amount,point.position,point.quantity.quantity,ts.acquiring_Domain.mRID,ts.auction.mRID,ts.businessType,ts.connecting_Domain.mRID,ts.currency_Unit.name,ts.divisible,ts.flowDirection.direction,ts.mRID,ts.price_Measure_Unit.name,ts.quantity_Measure_Unit.name,ts.standard_MarketProduct.marketProductType,ts.status.value,ts.validity_Period.timeInterval.end,ts.validity_Period.timeInterval.start
balancing_energy_bids,1,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,132,1,1,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_068-1,MWH,MAW,A01,A11,2026-02-26T00:15Z,2026-02-26T00:00Z
balancing_energy_bids,2,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,165,1,16,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_065-1,MWH,MAW,A01,A06,2026-02-26T00:15Z,2026-02-26T00:00Z
balancing_energy_bids,3,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,130,1,23,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_052-1,MWH,MAW,A01,A06,2026-02-26T00:15Z,2026-02-26T00:00Z
balancing_energy_bids,4,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,0,1,1,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_047-1,MWH,MAW,A01,A11,2026-02-26T00:15Z,2026-02-26T00:00Z
balancing_energy_bids,5,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,100,1,15,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_069-1,MWH,MAW,A01,A06,2026-02-26T00:15Z,2026-02-26T00:00Z
balancing_energy_bids,6,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,132,1,1,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_058-1,MWH,MAW,A01,A11,2026-02-26T00:15Z,2026-02-26T00:00Z
balancing_energy_bids,7,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,105,1,9,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_062-1,MWH,MAW,A01,A06,2026-02-26T00:15Z,2026-02-26T00:00Z
balancing_energy_bids,8,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,105,1,2,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_043-1,MWH,MAW,A01,A06,2026-02-26T00:15Z,2026-02-26T00:00Z
balancing_energy_bids,9,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,140,1,10,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_063-1,MWH,MAW,A01,A06,2026-02-26T00:15Z,2026-02-26T00:00Z
balancing_energy_bids,10,2026-02-26T00:00:00,PT15M,2026-02-26T00:15Z,2026-02-26T00:00Z,750,1,11,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260226005-AFRR_P-UNIT_104-1,MWH,MAW,A01,A06,2026-02-26T00:15Z,2026-02-26T00:00Z
