dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.position,point.procurement_Price.amount,point.quantity,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.price_Measure_Unit.name,ts.quantity_Measure_Unit.name,ts.standard_MarketProduct.marketProductType,ts.type_MarketAgreement.type
procured_balancing_capacity,1,2026-02-07T23:00:00,PT15M,2026-02-07T23:15Z,2026-02-07T23:00Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-07T23:15:00,PT15M,2026-02-07T23:30Z,2026-02-07T23:15Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-07T23:30:00,PT15M,2026-02-07T23:45Z,2026-02-07T23:30Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-07T23:45:00,PT15M,2026-02-08T00:00Z,2026-02-07T23:45Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T00:00:00,PT15M,2026-02-08T00:15Z,2026-02-08T00:00Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T00:15:00,PT15M,2026-02-08T00:30Z,2026-02-08T00:15Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T00:30:00,PT15M,2026-02-08T00:45Z,2026-02-08T00:30Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T00:45:00,PT15M,2026-02-08T01:00Z,2026-02-08T00:45Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T01:00:00,PT15M,2026-02-08T01:15Z,2026-02-08T01:00Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T01:15:00,PT15M,2026-02-08T01:30Z,2026-02-08T01:15Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T01:30:00,PT15M,2026-02-08T01:45Z,2026-02-08T01:30Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T01:45:00,PT15M,2026-02-08T02:00Z,2026-02-08T01:45Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T02:00:00,PT15M,2026-02-08T02:15Z,2026-02-08T02:00Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T02:15:00,PT15M,2026-02-08T02:30Z,2026-02-08T02:15Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T02:30:00,PT15M,2026-02-08T02:45Z,2026-02-08T02:30Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T02:45:00,PT15M,2026-02-08T03:00Z,2026-02-08T02:45Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T03:00:00,PT15M,2026-02-08T03:15Z,2026-02-08T03:00Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T03:15:00,PT15M,2026-02-08T03:30Z,2026-02-08T03:15Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T03:30:00,PT15M,2026-02-08T03:45Z,2026-02-08T03:30Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T03:45:00,PT15M,2026-02-08T04:00Z,2026-02-08T03:45Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T04:00:00,PT15M,2026-02-08T04:15Z,2026-02-08T04:00Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T04:15:00,PT15M,2026-02-08T04:30Z,2026-02-08T04:15Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T04:30:00,PT15M,2026-02-08T04:45Z,2026-02-08T04:30Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T04:45:00,PT15M,2026-02-08T05:00Z,2026-02-08T04:45Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T05:00:00,PT15M,2026-02-08T05:15Z,2026-02-08T05:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T05:15:00,PT15M,2026-02-08T05:30Z,2026-02-08T05:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T05:30:00,PT15M,2026-02-08T05:45Z,2026-02-08T05:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T05:45:00,PT15M,2026-02-08T06:00Z,2026-02-08T05:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T06:00:00,PT15M,2026-02-08T06:15Z,2026-02-08T06:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T06:15:00,PT15M,2026-02-08T06:30Z,2026-02-08T06:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T06:30:00,PT15M,2026-02-08T06:45Z,2026-02-08T06:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T06:45:00,PT15M,2026-02-08T07:00Z,2026-02-08T06:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T07:00:00,PT15M,2026-02-08T07:15Z,2026-02-08T07:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T07:15:00,PT15M,2026-02-08T07:30Z,2026-02-08T07:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T07:30:00,PT15M,2026-02-08T07:45Z,2026-02-08T07:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T07:45:00,PT15M,2026-02-08T08:00Z,2026-02-08T07:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T08:00:00,PT15M,2026-02-08T08:15Z,2026-02-08T08:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T08:15:00,PT15M,2026-02-08T08:30Z,2026-02-08T08:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T08:30:00,PT15M,2026-02-08T08:45Z,2026-02-08T08:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T08:45:00,PT15M,2026-02-08T09:00Z,2026-02-08T08:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
