date,period,supply,demand,balance
2025-03-01,1,2438.47,2438.472,0.002
2025-03-01,2,2412.77,2412.772,0.002
2025-03-01,3,2411.87,2411.872,0.002
2025-03-01,4,2437.47,2437.472,0.002
2025-03-01,5,2470.493,2470.494,0.001
2025-03-01,6,2458.018,2458.019,0.001
2025-03-01,7,2469.243,2469.244,0.001
2025-03-01,8,2472.618,2472.619,0.001
2025-03-01,9,2364.105,2364.108,0.003
2025-03-01,10,2349.83,2349.833,0.003
2025-03-01,11,2343.255,2343.258,0.003
2025-03-01,12,2350.73,2350.733,0.003
2025-03-01,13,2318.754,2318.756,0.002
2025-03-01,14,2320.179,2320.181,0.002
2025-03-01,15,2319.329,2319.331,0.002
2025-03-01,16,2330.929,2330.931,0.002
2025-03-01,17,2432.872,2432.874,0.002
2025-03-01,18,2421.747,2421.749,0.002
2025-03-01,19,2405.647,2405.649,0.002
2025-03-01,20,2415.597,2415.599,0.002
2025-03-01,21,2443.257,2443.259,0.002
2025-03-01,22,2430.307,2430.309,0.002
2025-03-01,23,2424.707,2424.709,0.002
2025-03-01,24,2436.307,2436.309,0.002
2025-03-01,25,2384.085,2384.087,0.002
2025-03-01,26,2383.335,2383.337,0.002
2025-03-01,27,2368.66,2368.662,0.002
2025-03-01,28,2364.485,2364.487,0.002
2025-03-01,29,2311.695,2311.697,0.002
2025-03-01,30,2277.245,2277.247,0.002
2025-03-01,31,2277.52,2277.522,0.002
2025-03-01,32,2292.945,2292.947,0.002
2025-03-01,33,2208.592,2208.593,0.001
2025-03-01,34,2186.242,2186.243,0.001
2025-03-01,35,2189.367,2189.368,0.001
2025-03-01,36,2199.867,2199.868,0.001
2025-03-01,37,2110.984,2110.987,0.003
2025-03-01,38,2044.634,2044.637,0.003
2025-03-01,39,2021.709,2021.712,0.003
2025-03-01,40,2022.059,2022.062,0.003
2025-03-01,41,2190.324,2190.326,0.002
2025-03-01,42,2195.624,2195.626,0.002
2025-03-01,43,2209.874,2209.876,0.002
2025-03-01,44,2224.399,2224.401,0.002
2025-03-01,45,2258.018,2258.019,0.001
2025-03-01,46,2252.268,2252.269,0.001
2025-03-01,47,2252.493,2252.494,0.001
2025-03-01,48,2291.643,2291.644,0.001
2025-03-01,49,2385.676,2385.678,0.002
2025-03-01,50,2371.126,2371.128,0.002
2025-03-01,51,2363.851,2363.853,0.002
2025-03-01,52,2377.126,2377.128,0.002
2025-03-01,53,2544.001,2544.003,0.002
2025-03-01,54,2534.201,2534.203,0.002
2025-03-01,55,2533.601,2533.603,0.002
2025-03-01,56,2541.526,2541.528,0.002
2025-03-01,57,2587.491,2587.493,0.002
2025-03-01,58,2577.366,2577.368,0.002
2025-03-01,59,2567.991,2567.993,0.002
2025-03-01,60,2579.766,2579.768,0.002
