deliveryDay,period,deliveryStart,deliveryEnd,price,priceWeightedAverage,priceAverage,lastPrice,minimalPrice,maximalPrice,successfulVolume,purchaseSuccessfulVolume,saleSuccessfulVolume
2026-03-01,1,2026-02-28T23:00:00Z,2026-03-01T00:00:00Z,52.29,52.29,51.15,55.0,45.39,64.21,32.8,14.4,18.4
2026-03-01,2,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,52.78,52.78,54.18,50.97,49.61,72.66,70.3,25.0,45.3
2026-03-01,3,2026-03-01T01:00:00Z,2026-03-01T02:00:00Z,48.02,48.02,47.39,36.83,34.6,59.3,81.2,26.9,54.3
2026-03-01,4,2026-03-01T02:00:00Z,2026-03-01T03:00:00Z,48.4,48.4,47.78,43.64,41.2,70.0,72.1,13.6,58.5
2026-03-01,5,2026-03-01T03:00:00Z,2026-03-01T04:00:00Z,54.58,54.58,53.42,48.6,47.17,78.06,83.7,18.7,65.0
2026-03-01,6,2026-03-01T04:00:00Z,2026-03-01T05:00:00Z,60.71,60.71,60.5,60.94,57.76,66.27,92.9,10.0,82.9
2026-03-01,7,2026-03-01T05:00:00Z,2026-03-01T06:00:00Z,56.16,56.16,58.02,45.11,45.11,81.0,74.0,16.0,58.0
2026-03-01,8,2026-03-01T06:00:00Z,2026-03-01T07:00:00Z,50.38,50.38,48.32,35.0,34.22,70.52,109.9,56.6,53.3
2026-03-01,9,2026-03-01T07:00:00Z,2026-03-01T08:00:00Z,35.11,35.11,32.37,37.15,24.0,60.85,148.9,65.7,83.2
2026-03-01,10,2026-03-01T08:00:00Z,2026-03-01T09:00:00Z,12.82,12.82,16.46,35.78,8.4,35.78,61.1,21.4,39.7
2026-03-01,11,2026-03-01T09:00:00Z,2026-03-01T10:00:00Z,6.5,6.5,12.41,-5.99,-9.89,45.01,276.4,142.6,133.8
2026-03-01,12,2026-03-01T10:00:00Z,2026-03-01T11:00:00Z,5.16,5.16,5.16,-1.92,-3.58,21.8,241.1,158.3,82.8
2026-03-01,13,2026-03-01T11:00:00Z,2026-03-01T12:00:00Z,-1.16,-1.16,-0.82,6.87,-9.89,6.87,252.0,144.0,108.0
2026-03-01,14,2026-03-01T12:00:00Z,2026-03-01T13:00:00Z,-1.16,-1.16,-1.07,9.68,-11.89,10.33,432.9,256.0,176.9
2026-03-01,15,2026-03-01T13:00:00Z,2026-03-01T14:00:00Z,1.1,1.1,-0.02,-26.5,-26.5,5.88,196.5,155.0,41.5
2026-03-01,16,2026-03-01T14:00:00Z,2026-03-01T15:00:00Z,25.1,25.1,25.18,34.09,17.26,35.0,175.0,113.1,61.9
2026-03-01,17,2026-03-01T15:00:00Z,2026-03-01T16:00:00Z,84.5,84.5,79.91,78.99,74.76,125.86,130.4,64.2,66.2
2026-03-01,18,2026-03-01T16:00:00Z,2026-03-01T17:00:00Z,110.87,110.87,109.79,100.52,100.52,138.47,352.9,127.4,225.5
2026-03-01,19,2026-03-01T17:00:00Z,2026-03-01T18:00:00Z,119.5,119.5,118.2,80.01,80.01,129.5,274.7,90.4,184.3
2026-03-01,20,2026-03-01T18:00:00Z,2026-03-01T19:00:00Z,114.68,114.68,113.59,114.9,105.01,141.55,262.4,94.8,167.6
2026-03-01,21,2026-03-01T19:00:00Z,2026-03-01T20:00:00Z,104.64,104.64,103.38,94.9,94.9,120.48,232.5,38.3,194.2
2026-03-01,22,2026-03-01T20:00:00Z,2026-03-01T21:00:00Z,101.25,101.25,95.34,86.0,86.0,128.89,145.6,50.9,94.7
2026-03-01,23,2026-03-01T21:00:00Z,2026-03-01T22:00:00Z,90.0,90.0,89.8,84.29,83.17,123.15,89.4,31.7,57.7
2026-03-01,24,2026-03-01T22:00:00Z,2026-03-01T23:00:00Z,76.54,76.54,76.7,79.4,72.33,83.75,97.9,27.5,70.4
