source_file,service,source_type,date,timestamp_local,hour,quarter_in_hour,quarter_hour,up_volume_mwh,up_price_eur_mwh,down_volume_mwh,down_price_eur_mwh,up_revenue_eur,down_revenue_eur,total_energy_revenue_eur,net_volume_mwh,gross_volume_mwh
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 00:00:00,1,1,1,0.516,137.2508,0.269,29.6387,70.8214128,7.972810300000001,78.79422310000001,0.247,0.785
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 00:15:00,1,2,2,0.108,139.9898,0.081,30.4716,15.1188984,2.4681996,17.587098,0.026999999999999996,0.189
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 00:30:00,1,3,3,0.06,139.94,0.444,29.4716,8.3964,13.0853904,21.4817904,-0.384,0.504
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 00:45:00,1,4,4,0.261,139.2268,0.144,30.0111,36.338194800000004,4.321598399999999,40.6597932,0.11700000000000002,0.405
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 01:00:00,2,1,5,1.304,133.5802,0.006,43.8167,174.18858079999998,0.2629002,174.45148099999997,1.298,1.31
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 01:15:00,2,2,6,2.864,136.018,0.011,31.3455,389.555552,0.3448005,389.9003525,2.8529999999999998,2.875
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 01:30:00,2,3,7,0.239,127.9054,0.001,70.9,30.5693906,0.0709,30.6402906,0.238,0.24
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 01:45:00,2,4,8,0.164,130.3354,0.105,29.4295,21.3750056,3.0900975,24.4651031,0.05900000000000001,0.269
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 02:00:00,3,1,9,1.675,127.028,0.136,29.3081,212.77190000000002,3.9859016,216.75780160000002,1.5390000000000001,1.811
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 02:15:00,3,2,10,0.875,122.6221,0.057,30.6386,107.2943375,1.7464002,109.0407377,0.818,0.932
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 02:30:00,3,3,11,0.181,124.3464,0.012,27.6583,22.5066984,0.3318996,22.838598,0.16899999999999998,0.193
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 02:45:00,3,4,12,0.265,121.4592,0.269,29.3539,32.186688000000004,7.8961991000000005,40.08288710000001,-0.0040000000000000036,0.534
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 03:00:00,4,1,13,0.859,124.563,0.0,0.0,106.999617,0.0,106.999617,0.859,0.859
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 03:15:00,4,2,14,2.684,125.9279,0.082,29.3146,337.9904836,2.4037972,340.3942808,2.6020000000000003,2.766
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 03:30:00,4,3,15,1.446,121.7218,0.0,0.0,176.0097228,0.0,176.0097228,1.446,1.446
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 03:45:00,4,4,16,0.935,120.6897,0.033,32.0273,112.8448695,1.0569009,113.9017704,0.902,0.9680000000000001
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 04:00:00,5,1,17,1.23,123.0683,0.002,7.8,151.374009,0.0156,151.389609,1.228,1.232
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 04:15:00,5,2,18,1.777,124.589,0.058,29.9448,221.39465299999998,1.7367984,223.13145139999997,1.7189999999999999,1.835
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 04:30:00,5,3,19,1.897,123.1925,0.023,31.6609,233.6961725,0.7282007,234.4243732,1.874,1.92
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 04:45:00,5,4,20,0.442,121.2369,0.008,32.625,53.5867098,0.261,53.847709800000004,0.434,0.45
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 05:00:00,6,1,21,0.193,122.3725,0.286,29.6196,23.6178925,8.4712056,32.0890981,-0.09299999999999997,0.479
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 05:15:00,6,2,22,0.196,123.2031,0.205,29.0629,24.147807600000004,5.957894499999999,30.105702100000002,-0.00899999999999998,0.401
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 05:30:00,6,3,23,0.081,117.3049,0.036,30.7,9.5016969,1.1052,10.6068969,0.045000000000000005,0.11699999999999999
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 05:45:00,6,4,24,0.06,106.4817,0.044,33.3864,6.388902,1.4690016,7.8579036,0.016,0.104
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 06:00:00,7,1,25,2.635,133.8704,0.1,24.766,352.74850399999997,2.4766,355.225104,2.5349999999999997,2.735
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 06:15:00,7,2,26,2.543,126.272,0.033,29.7818,321.10969600000004,0.9827994000000001,322.0924954,2.5100000000000002,2.576
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 06:30:00,7,3,27,0.347,107.0916,0.011,30.7545,37.1607852,0.3382995,37.4990847,0.33599999999999997,0.358
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 06:45:00,7,4,28,0.667,110.4835,0.004,33.825,73.69249450000001,0.1353,73.82779450000001,0.663,0.671
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 07:00:00,8,1,29,4.62,130.1862,0.007,37.0571,601.4602440000001,0.2593997,601.7196437000001,4.613,4.627
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 07:15:00,8,2,30,1.722,125.2526,0.084,29.694,215.6849772,2.4942960000000003,218.17927319999998,1.638,1.806
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 07:30:00,8,3,31,0.149,124.6141,0.088,10.1068,18.5675009,0.8893983999999999,19.4568993,0.061,0.237
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 07:45:00,8,4,32,0.51,120.6255,0.395,7.7572,61.519005,3.0640940000000003,64.583099,0.11499999999999999,0.905
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 08:00:00,9,1,33,0.084,114.9417,0.453,8.8267,9.6551028,3.9984951000000004,13.653597900000001,-0.369,0.537
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 08:15:00,9,2,34,0.455,111.7279,0.053,9.6019,50.836194500000005,0.5089007,51.3450952,0.402,0.508
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 08:30:00,9,3,35,0.136,111.9654,0.0,0.0,15.227294400000002,0.0,15.227294400000002,0.136,0.136
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 08:45:00,9,4,36,0.121,112.4091,0.043,9.8767,13.601501099999998,0.42469809999999997,14.026199199999999,0.078,0.16399999999999998
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 09:00:00,10,1,37,0.04,113.79,0.227,10.0498,4.5516000000000005,2.2813046,6.832904600000001,-0.187,0.267
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 09:15:00,10,2,38,0.935,113.7812,0.0,0.0,106.385422,0.0,106.385422,0.935,0.935
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 09:30:00,10,3,39,0.588,111.2753,0.0,0.0,65.4298764,0.0,65.4298764,0.588,0.588
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 09:45:00,10,4,40,0.187,109.9139,0.008,6.35,20.5538993,0.0508,20.6046993,0.179,0.195
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 10:00:00,11,1,41,1.527,114.8729,0.0,0.0,175.4109183,0.0,175.4109183,1.527,1.527
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 10:15:00,11,2,42,3.662,123.5497,0.0,0.0,452.4390014,0.0,452.4390014,3.662,3.662
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 10:30:00,11,3,43,2.631,119.4266,0.0,0.0,314.2113846,0.0,314.2113846,2.631,2.631
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 10:45:00,11,4,44,1.596,115.8997,0.215,-0.0135,184.97592120000002,-0.0029025,184.9730187,1.381,1.8110000000000002
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 11:00:00,12,1,45,0.385,103.5496,0.189,-10.5974,39.866596,-2.0029086,37.8636874,0.196,0.5740000000000001
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 11:15:00,12,2,46,0.521,106.128,0.083,3.8843,55.292688000000005,0.32239690000000004,55.61508490000001,0.438,0.604
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 11:30:00,12,3,47,0.009,167.1444,0.241,2.8461,1.5042995999999997,0.6859101,2.1902096999999996,-0.23199999999999998,0.25
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 11:45:00,12,4,48,0.561,102.6904,0.087,3.9448,57.6093144,0.3431976,57.952512000000006,0.4740000000000001,0.648
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 12:00:00,13,1,49,1.417,110.1404,0.044,-0.0818,156.0689468,-0.0035992,156.0653476,1.373,1.461
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 12:15:00,13,2,50,0.089,93.2652,0.094,5.5096,8.300602799999998,0.5179024,8.818505199999999,-0.0050000000000000044,0.183
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 12:30:00,13,3,51,0.022,102.4455,0.177,7.0249,2.2538009999999997,1.2434072999999999,3.4972082999999996,-0.155,0.19899999999999998
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 12:45:00,13,4,52,0.073,98.4795,0.074,8.7932,7.1890035,0.6506968,7.8397003000000005,-0.0010000000000000009,0.147
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 13:00:00,14,1,53,10.77,262.1808,0.0,0.0,2823.687216,0.0,2823.687216,10.77,10.77
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 13:15:00,14,2,54,10.984,148.2173,0.0,0.0,1628.0188232,0.0,1628.0188232,10.984,10.984
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 13:30:00,14,3,55,2.557,107.8989,0.005,-1.28,275.89748729999997,-0.0064,275.8910873,2.552,2.562
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 13:45:00,14,4,56,4.083,138.6261,0.052,3.8077,566.0103663000001,0.1980004,566.2083667,4.031000000000001,4.135
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 14:00:00,15,1,57,16.453,481.796,0.0,0.0,7926.9895879999995,0.0,7926.9895879999995,16.453,16.453
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 14:15:00,15,2,58,5.886,126.4335,0.001,-6.3,744.187581,-0.0063,744.181281,5.885,5.8870000000000005
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 14:30:00,15,3,59,5.352,128.2247,0.0,0.0,686.2585944000001,0.0,686.2585944000001,5.352,5.352
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 14:45:00,15,4,60,3.955,127.4723,0.002,-1.0,504.15294650000004,-0.002,504.15094650000003,3.9530000000000003,3.957
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 15:00:00,16,1,61,1.191,122.6824,0.197,0.0178,146.11473840000002,0.0035066,146.11824500000003,0.994,1.3880000000000001
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 15:15:00,16,2,62,0.129,122.6876,0.078,6.4013,15.8267004,0.4993014,16.3260018,0.051000000000000004,0.20700000000000002
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 15:30:00,16,3,63,0.138,125.9906,0.157,5.8892,17.386702800000002,0.9246044,18.3113072,-0.01899999999999999,0.29500000000000004
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 15:45:00,16,4,64,0.193,122.556,0.21,6.8886,23.653308,1.446606,25.099914,-0.016999999999999987,0.403
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 16:00:00,17,1,65,0.186,124.4892,0.234,-1.6226,23.154991199999998,-0.37968840000000004,22.7753028,-0.048000000000000015,0.42000000000000004
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 16:15:00,17,2,66,0.26,121.8973,0.075,9.9613,31.693298000000002,0.7470975,32.4403955,0.185,0.335
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 16:30:00,17,3,67,0.361,125.3681,0.395,8.1577,45.2578841,3.2222915000000003,48.480175599999995,-0.03400000000000003,0.756
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 16:45:00,17,4,68,0.215,122.4186,0.233,9.1901,26.319999,2.1412933,28.4612923,-0.018000000000000016,0.448
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 17:00:00,18,1,69,0.138,148.287,0.568,6.0891,20.463606000000002,3.4586088,23.922214800000003,-0.42999999999999994,0.706
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 17:15:00,18,2,70,0.647,141.3607,0.176,6.0915,91.46037290000001,1.072104,92.5324769,0.47100000000000003,0.823
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 17:30:00,18,3,71,0.266,142.1053,0.198,9.7914,37.800009800000005,1.9386972,39.738707000000005,0.068,0.464
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 17:45:00,18,4,72,0.177,143.691,0.01,11.22,25.433307,0.11220000000000001,25.545507,0.16699999999999998,0.187
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 18:00:00,19,1,73,0.326,164.6212,4.193,-18.5514,53.666511199999995,-77.7860202,-24.119509,-3.8669999999999995,4.518999999999999
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 18:15:00,19,2,74,0.467,131.1443,0.028,8.275,61.244388099999995,0.23170000000000002,61.4760881,0.439,0.49500000000000005
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 18:30:00,19,3,75,1.39,130.7126,0.088,0.3659,181.690514,0.0321992,181.72271320000002,1.3019999999999998,1.478
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 18:45:00,19,4,76,1.339,131.8166,0.216,-3.337,176.5024274,-0.720792,175.7816354,1.123,1.555
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 19:00:00,20,1,77,0.411,141.4134,0.465,-1.006,58.12090739999999,-0.46779000000000004,57.65311739999999,-0.05400000000000005,0.876
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 19:15:00,20,2,78,0.341,102.4106,0.002,19.45,34.922014600000004,0.0389,34.9609146,0.339,0.343
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 19:30:00,20,3,79,0.234,104.559,0.008,11.6,24.466806000000002,0.0928,24.559606000000002,0.226,0.24200000000000002
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 19:45:00,20,4,80,0.482,121.0851,0.001,11.1,58.3630182,0.0111,58.3741182,0.481,0.483
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 20:00:00,21,1,81,1.014,136.2219,0.031,2.7516,138.1290066,0.08529959999999999,138.2143062,0.983,1.045
