,DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h],TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h],GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h],GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h],GERMANY_IMPORT(-)_EXPORT(+)_[MW],AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h],AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h],AUSTRIA_IMPORT(-)_EXPORT(+)_[MW],GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
0,2025-03-01,2025-03-01,aFRR,NEG_00_04,0.96,2.8,4.39,1.36,2.72,2.97,80.0,0.96,3.86,4.39,-80.0,4304.0
1,2025-03-01,2025-03-01,aFRR,NEG_04_08,0.86,2.5,3.1,1.16,2.48,2.9,80.0,0.86,2.72,3.1,-80.0,4131.0
2,2025-03-01,2025-03-01,aFRR,NEG_08_12,0.63,1.99,3.5,1.0,2.0,2.58,80.0,0.63,1.84,3.5,-80.0,4005.0
3,2025-03-01,2025-03-01,aFRR,NEG_12_16,1.32,4.26,7.03,1.67,4.23,6.55,80.0,1.32,4.6,7.03,-80.0,4163.0
4,2025-03-01,2025-03-01,aFRR,NEG_16_20,0.11,0.38,0.49,0.15,0.39,0.49,-80.0,0.11,0.29,0.37,80.0,4278.0
5,2025-03-01,2025-03-01,aFRR,NEG_20_24,0.26,0.76,0.87,0.33,0.77,0.87,35.0,0.26,0.7,0.87,-35.0,4110.0
6,2025-03-01,2025-03-01,aFRR,POS_00_04,0.93,2.4,4.75,1.0,2.46,4.75,-80.0,0.93,2.04,2.42,80.0,4400.0
7,2025-03-01,2025-03-01,aFRR,POS_04_08,3.28,7.21,8.13,3.61,7.26,8.13,-53.0,3.28,6.88,8.1,53.0,4956.0
8,2025-03-01,2025-03-01,aFRR,POS_08_12,7.49,14.48,17.39,7.49,15.07,17.39,-31.0,7.83,10.01,17.21,31.0,5194.0
9,2025-03-01,2025-03-01,aFRR,POS_12_16,2.49,6.01,6.45,2.49,6.09,6.45,-74.0,2.58,5.47,6.42,74.0,4619.0
10,2025-03-01,2025-03-01,aFRR,POS_16_20,6.65,16.41,18.62,8.11,16.85,18.62,-80.0,6.65,13.72,18.58,80.0,4872.0
11,2025-03-01,2025-03-01,aFRR,POS_20_24,2.59,6.26,6.99,3.14,6.37,6.99,-80.0,2.59,5.6,6.81,80.0,4473.0
