DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,AFRR_AVERAGE_CAPACITY_PRICE_EUR_PER_MW_PER_H,AFRR_PROCURED_CAPACITY_MW,COUNTRY,NOTE
2025-03-17,2025-03-17,aFRR,NEG_00_04,11.97857142857143,448.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,NEG_04_08,10.226808510638296,1128.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,NEG_08_12,10.337334993773348,803.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,NEG_12_16,11.277857142857139,448.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,NEG_16_20,9.738332009531375,1259.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,NEG_20_24,9.544155844155842,1232.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,POS_00_04,39.80936708860759,316.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,POS_04_08,39.39386473429951,828.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,POS_08_12,38.68847250509165,491.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,POS_12_16,37.28199999999998,160.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,POS_16_20,36.853955947136555,1135.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-03-17,2025-03-17,aFRR,POS_20_24,38.223245614035086,912.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
