,id,DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
0,47728064,2025-03-01,aFRR,NEG_001,9295.31,GRID_TO_PROVIDER,1.0,1.0,DE,
1,47728065,2025-03-01,aFRR,NEG_001,9470.31,GRID_TO_PROVIDER,1.0,1.0,DE,
2,47728066,2025-03-01,aFRR,NEG_001,1045.0,GRID_TO_PROVIDER,2.0,2.0,DE,
3,47728067,2025-03-01,aFRR,NEG_001,3396.0,GRID_TO_PROVIDER,2.0,2.0,DE,
4,47728068,2025-03-01,aFRR,NEG_001,6304.0,GRID_TO_PROVIDER,2.0,2.0,DE,
5,47728069,2025-03-01,aFRR,NEG_001,6731.0,GRID_TO_PROVIDER,3.0,3.0,DE,
6,47728070,2025-03-01,aFRR,NEG_001,8368.0,GRID_TO_PROVIDER,3.0,3.0,DE,
7,47728071,2025-03-01,aFRR,NEG_001,9211.0,GRID_TO_PROVIDER,2.0,2.0,DE,
8,47728072,2025-03-01,aFRR,NEG_001,10005.0,GRID_TO_PROVIDER,3.0,3.0,DE,
9,47728073,2025-03-01,aFRR,NEG_001,153.94,GRID_TO_PROVIDER,2.0,2.0,DE,
10,47728074,2025-03-01,aFRR,NEG_001,156.63,GRID_TO_PROVIDER,2.0,2.0,DE,
11,47728075,2025-03-01,aFRR,NEG_001,158.53,GRID_TO_PROVIDER,2.0,2.0,DE,
12,47728076,2025-03-01,aFRR,NEG_001,160.84,GRID_TO_PROVIDER,1.0,1.0,DE,
13,47728077,2025-03-01,aFRR,NEG_001,184.05,GRID_TO_PROVIDER,1.0,1.0,DE,
14,47728078,2025-03-01,aFRR,NEG_001,250.33,GRID_TO_PROVIDER,1.0,1.0,DE,
15,47728079,2025-03-01,aFRR,NEG_001,316.61,GRID_TO_PROVIDER,1.0,1.0,DE,
16,47728080,2025-03-01,aFRR,NEG_001,382.89,GRID_TO_PROVIDER,1.0,1.0,DE,
17,47728081,2025-03-01,aFRR,NEG_001,449.17,GRID_TO_PROVIDER,1.0,1.0,DE,
18,47728082,2025-03-01,aFRR,NEG_001,515.46,GRID_TO_PROVIDER,1.0,1.0,DE,
19,47728083,2025-03-01,aFRR,NEG_001,581.74,GRID_TO_PROVIDER,1.0,1.0,DE,
20,47728084,2025-03-01,aFRR,NEG_001,11643.0,GRID_TO_PROVIDER,3.0,3.0,DE,
21,47728085,2025-03-01,aFRR,NEG_001,13280.0,GRID_TO_PROVIDER,3.0,3.0,DE,
22,47728086,2025-03-01,aFRR,NEG_001,14917.0,GRID_TO_PROVIDER,1.0,1.0,DE,
23,47728087,2025-03-01,aFRR,NEG_001,500.0,GRID_TO_PROVIDER,1.0,1.0,DE,
