id,DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
20260227002-AFRR_N-UNIT_003-1,2026-02-27,aFRR,NEG_002,-5.0,GRID_TO_PROVIDER,4.0,4.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_013-1,2026-02-27,aFRR,NEG_002,-10.0,GRID_TO_PROVIDER,30.0,30.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_019-1,2026-02-27,aFRR,NEG_002,-199.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_028-1,2026-02-27,aFRR,NEG_002,-0.01,GRID_TO_PROVIDER,9.0,9.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_043-1,2026-02-27,aFRR,NEG_002,10.0,GRID_TO_PROVIDER,5.0,5.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_052-1,2026-02-27,aFRR,NEG_002,-30.0,GRID_TO_PROVIDER,10.0,10.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_058-1,2026-02-27,aFRR,NEG_002,-5.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_062-1,2026-02-27,aFRR,NEG_002,-29.0,GRID_TO_PROVIDER,7.0,7.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_068-1,2026-02-27,aFRR,NEG_002,-5.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_069-1,2026-02-27,aFRR,NEG_002,-150.0,GRID_TO_PROVIDER,15.0,15.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_089-1,2026-02-27,aFRR,NEG_002,-199.14,GRID_TO_PROVIDER,3.0,3.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_104-1,2026-02-27,aFRR,NEG_002,-100.0,GRID_TO_PROVIDER,4.0,4.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_N-UNIT_106-1,2026-02-27,aFRR,NEG_002,-19.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_003-1,2026-02-27,aFRR,POS_002,189.0,PROVIDER_TO_GRID,6.0,6.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_009-1,2026-02-27,aFRR,POS_002,165.0,PROVIDER_TO_GRID,3.0,3.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_019-1,2026-02-27,aFRR,POS_002,250.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_028-1,2026-02-27,aFRR,POS_002,500.0,PROVIDER_TO_GRID,10.0,10.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_043-1,2026-02-27,aFRR,POS_002,90.0,PROVIDER_TO_GRID,2.0,2.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_047-1,2026-02-27,aFRR,POS_002,0.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_052-1,2026-02-27,aFRR,POS_002,145.0,PROVIDER_TO_GRID,23.0,23.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_058-1,2026-02-27,aFRR,POS_002,132.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_062-1,2026-02-27,aFRR,POS_002,90.0,PROVIDER_TO_GRID,9.0,9.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_063-1,2026-02-27,aFRR,POS_002,140.0,PROVIDER_TO_GRID,10.0,10.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_065-1,2026-02-27,aFRR,POS_002,165.0,PROVIDER_TO_GRID,16.0,16.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_068-1,2026-02-27,aFRR,POS_002,132.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_069-1,2026-02-27,aFRR,POS_002,100.0,PROVIDER_TO_GRID,15.0,15.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_097-1,2026-02-27,aFRR,POS_002,85.0,PROVIDER_TO_GRID,7.0,7.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_104-1,2026-02-27,aFRR,POS_002,750.0,PROVIDER_TO_GRID,11.0,11.0,SK,ENTSO-E BalancingEnergyBids
20260227002-AFRR_P-UNIT_106-1,2026-02-27,aFRR,POS_002,300.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_003-1,2026-02-27,aFRR,NEG_003,-5.0,GRID_TO_PROVIDER,4.0,4.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_013-1,2026-02-27,aFRR,NEG_003,-10.0,GRID_TO_PROVIDER,30.0,30.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_019-1,2026-02-27,aFRR,NEG_003,-199.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_028-1,2026-02-27,aFRR,NEG_003,-0.01,GRID_TO_PROVIDER,9.0,9.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_043-1,2026-02-27,aFRR,NEG_003,10.0,GRID_TO_PROVIDER,5.0,5.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_052-1,2026-02-27,aFRR,NEG_003,-30.0,GRID_TO_PROVIDER,10.0,10.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_058-1,2026-02-27,aFRR,NEG_003,-5.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_062-1,2026-02-27,aFRR,NEG_003,-29.0,GRID_TO_PROVIDER,7.0,7.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_068-1,2026-02-27,aFRR,NEG_003,-5.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_069-1,2026-02-27,aFRR,NEG_003,-150.0,GRID_TO_PROVIDER,15.0,15.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_089-1,2026-02-27,aFRR,NEG_003,-204.45,GRID_TO_PROVIDER,3.0,3.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_104-1,2026-02-27,aFRR,NEG_003,-100.0,GRID_TO_PROVIDER,4.0,4.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_N-UNIT_106-1,2026-02-27,aFRR,NEG_003,-19.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_P-UNIT_003-1,2026-02-27,aFRR,POS_003,189.0,PROVIDER_TO_GRID,6.0,6.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_P-UNIT_009-1,2026-02-27,aFRR,POS_003,165.0,PROVIDER_TO_GRID,3.0,3.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_P-UNIT_019-1,2026-02-27,aFRR,POS_003,250.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_P-UNIT_028-1,2026-02-27,aFRR,POS_003,500.0,PROVIDER_TO_GRID,10.0,10.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_P-UNIT_043-1,2026-02-27,aFRR,POS_003,90.0,PROVIDER_TO_GRID,2.0,2.0,SK,ENTSO-E BalancingEnergyBids
20260227003-AFRR_P-UNIT_047-1,2026-02-27,aFRR,POS_003,0.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
